idcliente,rut,dv,nombrecliente,apellidopaterno,apellidomaterno,email,telefono,celular1,celular2,fechacreacion,vigente
99,1499,5,MOSHE,BRAVO,TOLEDO,moshe.bravo@correo.cl,,,,2012-02-06 00:00:00.000,1
102,1502,8,IGNACIO,PEREZ,VIDAL,ignacio.perez@correo.cl,,,,2012-10-03 00:00:00.000,1
104,1504,0,DANIELLA,ALIAGA,VERGARA,daniella.aliaga@correo.cl,,,,2012-07-04 00:00:00.000,1
109,1509,4,CHRISTIAN,JARA,MORAN,christian.jara@correo.cl,,,,2012-09-06 00:00:00.000,1
110,1510,5,MARCO,VILLA,STUARDO,marco.villa@correo.cl,,,,2012-05-04 00:00:00.000,1
119,1519,3,CRISTINA,SOTO,MEDEL,cristina.soto@correo.cl,,,,2012-12-06 00:00:00.000,1
120,1520,4,SANDRA,MARTINEZ,SANCHEZ,sandra.martinez@correo.cl,,,,2012-07-04 00:00:00.000,1
123,1523,7,MARIA,JIMENEZ,VERGARA,maria.jimenez@correo.cl,,,,2012-06-06 00:00:00.000,1
125,1525,9,MANUEL,BARRIENTOS,PEREZ,manuel.barrientos@correo.cl,,,,2012-07-04 00:00:00.000,1
126,1526,0,MAGDALENA,TOLEDO,PIZARRO,magdalena.toledo@correo.cl,,,,2012-05-04 00:00:00.000,1
127,1527,K,PEDRO,MEDEL,ALIAGA,pedro.medel@correo.cl,,,,2012-10-04 00:00:00.000,1
128,1528,1,CARLOS,SANCHEZ,MORAN,carlos.sanchez@correo.cl,,,,2012-05-04 00:00:00.000,1
131,1531,4,EMILIO,VERGARA,OJEDA,emilio.vergara@correo.cl,,,,2012-08-04 00:00:00.000,1
132,1532,5,RUBEN,VARGAS,JARA,ruben.vargas@correo.cl,,,,2012-01-04 00:00:00.000,1
136,1536,9,EDUARDO,MORAN,ARAVENA,eduardo.moran@correo.cl,,,,2012-08-04 00:00:00.000,1
138,1538,K,ALEJANDRA,TRONCOSO,OLIVARES,,,,,2012-08-04 00:00:00.000,1
141,1541,3,JOSE,VILLA,ALVAREZ,jose.villa@correo.cl,,,,2012-10-04 00:00:00.000,1
142,1542,4,PAULA,PRADO,SOTO,paula.prado@correo.cl,,,,2012-02-04 00:00:00.000,1
146,1546,8,MARY,OLIVARES,JIMENEZ,mary.olivares@correo.cl,,,,2012-08-04 00:00:00.000,1
148,1548,0,ELIAS,BARAHONA,SANCHEZ,elias.barahona@correo.cl,,,,2012-09-04 00:00:00.000,1
151,1551,2,RODOLFO,MARTINEZ,VERGARA,rodolfo.martinez@correo.cl,,,,2012-11-04 00:00:00.000,1
152,1552,3,SEBASTIAN,CASTILLO,VARGAS,sebastian.castillo@correo.cl,,,,2012-03-04 00:00:00.000,1
154,1554,5,NICOLAS,JIMENEZ,PIZARRO,nicolas.jimenez@correo.cl,,,,2012-02-05 00:00:00.000,1
156,1556,7,MARIA,BARRIENTOS,MORAN,maria.barrientos@correo.cl,,,,2012-12-04 00:00:00.000,1
159,1559,0,MARIA,SANCHEZ,OJEDA,maria.sanchez@correo.cl,,,,2012-02-07 00:00:00.000,1
162,1562,2,EUGENIO,VERGARA,PRADO,eugenio.vergara@correo.cl,,,,2012-09-04 00:00:00.000,1
164,1564,4,CLAUDE,PEREZ,ARAVENA,claude.perez@correo.cl,,,,2012-05-05 00:00:00.000,1
169,1569,9,MICHEL,TRONCOSO,ALVAREZ,michel.troncoso@correo.cl,,,,2012-08-07 00:00:00.000,1
170,1570,0,PAULINA,OJEDA,SOTO,paulina.ojeda@correo.cl,,,,2012-03-05 00:00:00.000,1
174,1574,3,SOLEDAD,POBLETE,JIMENEZ,soledad.poblete@correo.cl,,,,2012-11-05 00:00:00.000,1
180,1580,9,GUILLERMO,ALVAREZ,VIDAL,guillermo.alvarez@correo.cl,,,,2012-12-05 00:00:00.000,1
181,1581,0,MARIA,SOTO,BRAVO,maria.soto@correo.cl,,,,2012-01-05 00:00:00.000,1
183,1583,1,CRISTIAN,CASTILLO,SANCHEZ,cristian.castillo@correo.cl,,,,2012-07-07 00:00:00.000,1
185,1585,3,FRANCISCO,JIMENEZ,BRAVO,,,,,2012-08-05 00:00:00.000,1
186,1586,4,JORGE,GONZALEZ,VERGARA,jorge.gonzalez@correo.cl,,,,2012-03-05 00:00:00.000,1
187,1587,5,LUZ,BARRIENTOS,VARGAS,luz.barrientos@correo.cl,,,,2012-08-05 00:00:00.000,1
188,1588,6,CARMEN,TOLEDO,PEREZ,carmen.toledo@correo.cl,,,,2012-03-05 00:00:00.000,1
191,1591,9,CARLOS,VIDAL,MORAN,carlos.vidal@correo.cl,,,,2012-05-05 00:00:00.000,1
193,1593,K,PEDRO,VERGARA,TRONCOSO,pedro.vergara@correo.cl,,,,2012-10-07 00:00:00.000,1
195,1595,2,DANIEL,PEREZ,JARA,daniel.perez@correo.cl,,,,2012-08-05 00:00:00.000,1
196,1596,3,LUIS,PIZARRO,VILLA,luis.pizarro@correo.cl,,,,2012-03-05 00:00:00.000,1
197,1597,4,YENNY,ALIAGA,PRADO,yenny.aliaga@correo.cl,,,,2012-09-05 00:00:00.000,1
198,1598,5,MOSHE,MORAN,POBLETE,moshe.moran@correo.cl,,,,2012-04-05 00:00:00.000,1
201,1601,8,IGNACIO,OJEDA,OLIVARES,ignacio.ojeda@correo.cl,,,,2012-06-05 00:00:00.000,1
203,1603,0,DANIELLA,VILLA,BARAHONA,daniella.villa@correo.cl,,,,2012-12-07 00:00:00.000,1
205,1605,1,RODOLFO,POBLETE,SOTO,rodolfo.poblete@correo.cl,,,,2012-10-05 00:00:00.000,1
206,1606,2,EUGENIO,ARAVENA,MARTINEZ,eugenio.aravena@correo.cl,,,,2012-05-05 00:00:00.000,1
207,1607,3,CARMEN,ESCOBAR,CASTILLO,carmen.escobar@correo.cl,,,,2012-10-05 00:00:00.000,1
208,1608,4,CHRISTIAN,OLIVARES,NEIRA,christian.olivares@correo.cl,,,,2012-05-05 00:00:00.000,1
211,1611,7,ANGELO,ALVAREZ,BARRIENTOS,angelo.alvarez@correo.cl,,,,2012-08-05 00:00:00.000,1
215,1615,K,CARMEN,NEIRA,VIDAL,carmen.neira@correo.cl,,,,2012-12-05 00:00:00.000,1
216,1616,1,TOMAS,JIMENEZ,BRAVO,tomas.jimenez@correo.cl,,,,2012-07-05 00:00:00.000,1
217,1617,2,JOSE,GONZALEZ,VERGARA,jose.gonzalez@correo.cl,,,,2012-12-05 00:00:00.000,1
218,1618,3,CRISTINA,BARRIENTOS,VARGAS,cristina.barrientos@correo.cl,,,,2012-10-05 00:00:00.000,1
221,1621,6,EDUARDO,SANCHEZ,ALIAGA,eduardo.sanchez@correo.cl,,,,2012-12-05 00:00:00.000,1
222,1622,7,MARIA,VIDAL,MORAN,maria.vidal@correo.cl,,,,2012-04-05 00:00:00.000,1
224,1624,9,MANUEL,VERGARA,TRONCOSO,manuel.vergara@correo.cl,,,,2012-01-06 00:00:00.000,1
226,1626,K,PEDRO,PEREZ,JARA,pedro.perez@correo.cl,,,,2012-12-05 00:00:00.000,1
232,1632,6,DENISSE,OJEDA,OLIVARES,denisse.ojeda@correo.cl,,,,2012-11-05 00:00:00.000,1
234,1634,8,NICOLAS,VILLA,SANCHEZ,nicolas.villa@correo.cl,,,,2012-07-06 00:00:00.000,1
239,1639,2,ANA,OLIVARES,PEREZ,ana.olivares@correo.cl,,,,2012-06-08 00:00:00.000,1
240,1640,3,JOSE,FARIAS,PIZARRO,jose.farias@correo.cl,,,,2012-02-06 00:00:00.000,1
244,1644,7,ANTONIO,MARTINEZ,TRONCOSO,antonio.martinez@correo.cl,,,,2012-09-06 00:00:00.000,1
249,1649,1,HERTA,BARRIENTOS,POBLETE,herta.barrientos@correo.cl,,,,2012-11-08 00:00:00.000,1
250,1650,2,RODOLFO,TOLEDO,ARAVENA,rodolfo.toledo@correo.cl,,,,2012-07-06 00:00:00.000,1
253,1653,5,NICOLAS,VIDAL,FARIAS,nicolas.vidal@correo.cl,,,,2012-01-08 00:00:00.000,1
257,1657,9,LUIS,PEREZ,MARTINEZ,luis.perez@correo.cl,,,,2012-01-06 00:00:00.000,1
260,1660,1,HERNAN,MORAN,JIMENEZ,hernan.moran@correo.cl,,,,2012-10-06 00:00:00.000,1
261,1661,2,HERNAN,STUARDO,GONZALEZ,hernan.stuardo@correo.cl,,,,2012-03-06 00:00:00.000,1
263,1663,4,CLAUDE,OJEDA,TOLEDO,claude.ojeda@correo.cl,,,,2012-09-08 00:00:00.000,1
265,1665,6,MARIA,VILLA,SANCHEZ,maria.villa@correo.cl,,,,2012-08-06 00:00:00.000,1
266,1666,7,MARCIAL,PRADO,VIDAL,marcial.prado@correo.cl,,,,2012-03-06 00:00:00.000,1
267,1667,8,MARTIN,POBLETE,BRAVO,martin.poblete@correo.cl,,,,2012-08-06 00:00:00.000,1
268,1668,9,MICHEL,ARAVENA,MEDEL,michel.aravena@correo.cl,,,,2012-03-06 00:00:00.000,1
271,1671,1,ALEJANDRO,FARIAS,BRAVO,alejandro.farias@correo.cl,,,,2012-09-06 00:00:00.000,1
272,1672,2,MIGUEL,BARAHONA,VERGARA,miguel.barahona@correo.cl,,,,2012-01-06 00:00:00.000,1
275,1675,5,PAULA,MARTINEZ,PIZARRO,paula.martinez@correo.cl,,,,2012-12-06 00:00:00.000,1
276,1676,6,MATIAS,CASTILLO,ALIAGA,matias.castillo@correo.cl,,,,2012-07-06 00:00:00.000,1
278,1678,8,ARMANDO,JIMENEZ,STUARDO,armando.jimenez@correo.cl,,,,2012-08-06 00:00:00.000,1
281,1681,K,MARIA,TOLEDO,JARA,maria.toledo@correo.cl,,,,2012-11-06 00:00:00.000,1
282,1682,1,CRISTIAN,MEDEL,VILLA,cristian.medel@correo.cl,,,,2012-04-06 00:00:00.000,1
287,1687,6,CARMEN,VARGAS,OLIVARES,carmen.vargas@correo.cl,,,,2012-09-09 00:00:00.000,1
288,1688,7,ARIEL,PEREZ,FARIAS,ariel.perez@correo.cl,,,,2012-08-07 00:00:00.000,1
292,1692,K,PEDRO,STUARDO,MARTINEZ,pedro.stuardo@correo.cl,,,,2012-01-09 00:00:00.000,1
294,1694,2,DANIEL,OJEDA,NEIRA,daniel.ojeda@correo.cl,,,,2012-02-07 00:00:00.000,1
298,1698,6,ARTURO,POBLETE,TOLEDO,arturo.poblete@correo.cl,,,,2012-12-07 00:00:00.000,1
302,1702,0,DANIELLA,FARIAS,BRAVO,daniella.farias@correo.cl,,,,2012-05-09 00:00:00.000,1
304,1704,1,PEDRO,ALVAREZ,VARGAS,pedro.alvarez@correo.cl,,,,2012-04-07 00:00:00.000,1
306,1706,3,EUGENIO,MARTINEZ,PIZARRO,eugenio.martinez@correo.cl,,,,2012-03-11 00:00:00.000,1
308,1708,5,CHRISTIAN,NEIRA,MORAN,christian.neira@correo.cl,,,,2012-03-07 00:00:00.000,1
313,1713,0,ANDRES,MEDEL,VILLA,andres.medel@correo.cl,,,,2012-06-07 00:00:00.000,1
318,1718,4,CRISTINA,VARGAS,OLIVARES,cristina.vargas@correo.cl,,,,2012-08-07 00:00:00.000,1
319,1719,5,SANDRA,PEREZ,FARIAS,sandra.perez@correo.cl,,,,2012-03-07 00:00:00.000,1
322,1722,8,MARIA,MORAN,SOTO,maria.moran@correo.cl,,,,2012-01-10 00:00:00.000,1
323,1723,9,ROBERTO,STUARDO,MARTINEZ,roberto.stuardo@correo.cl,,,,2012-09-07 00:00:00.000,1
324,1724,0,MANUEL,TRONCOSO,CASTILLO,manuel.troncoso@correo.cl,,,,2012-08-08 00:00:00.000,1
327,1727,2,CARLOS,VILLA,GONZALEZ,carlos.villa@correo.cl,,,,2012-06-08 00:00:00.000,1
329,1729,4,EDUARDO,POBLETE,TOLEDO,eduardo.poblete@correo.cl,,,,2012-05-06 00:00:00.000,1
333,1733,8,DIEGO,FARIAS,BRAVO,diego.farias@correo.cl,,,,2012-03-06 00:00:00.000,1
334,1734,9,NICOLAS,BARAHONA,VERGARA,nicolas.barahona@correo.cl,,,,2012-11-08 00:00:00.000,1
336,1736,K,JOAQUIN,SOTO,PEREZ,joaquin.soto@correo.cl,,,,2012-10-06 00:00:00.000,1
339,1739,3,ANA,NEIRA,MORAN,ana.neira@correo.cl,,,,2012-09-06 00:00:00.000,1
342,1742,6,CARLOS,BARRIENTOS,MEDEL,carlos.barrientos@correo.cl,,,,2012-03-07 00:00:00.000,1
343,1743,7,ALFONSO,TOLEDO,SANCHEZ,alfonso.toledo@correo.cl,,,,2012-11-06 00:00:00.000,1
345,1745,9,MARY,SANCHEZ,BRAVO,mary.sanchez@correo.cl,,,,2012-08-07 00:00:00.000,1
348,1748,1,LORENA,VERGARA,PEREZ,lorena.vergara@correo.cl,,,,2012-01-07 00:00:00.000,1
350,1750,3,RODOLFO,PEREZ,ALIAGA,rodolfo.perez@correo.cl,,,,2012-08-11 00:00:00.000,1
353,1753,6,NICOLAS,MORAN,TRONCOSO,nicolas.moran@correo.cl,,,,2012-11-06 00:00:00.000,1
355,1755,8,MARIA,TRONCOSO,JARA,maria.troncoso@correo.cl,,,,2012-07-07 00:00:00.000,1
356,1756,9,LUISA,OJEDA,VILLA,luisa.ojeda@correo.cl,,,,2012-09-09 00:00:00.000,1
359,1759,1,KAREN,PRADO,ARAVENA,karen.prado@correo.cl,,,,2012-12-06 00:00:00.000,1
360,1760,2,HERNAN,POBLETE,ESCOBAR,hernan.poblete@correo.cl,,,,2012-12-11 00:00:00.000,1
364,1764,6,RICARDO,FARIAS,ALVAREZ,ricardo.farias@correo.cl,,,,2012-01-09 00:00:00.000,1
365,1765,7,MARIA,BARAHONA,SOTO,maria.barahona@correo.cl,,,,2012-10-07 00:00:00.000,1
366,1766,8,MARCIAL,ALVAREZ,MARTINEZ,marcial.alvarez@correo.cl,,,,2012-12-09 00:00:00.000,1
367,1767,9,MARTIN,SOTO,CASTILLO,martin.soto@correo.cl,,,,2012-11-09 00:00:00.000,1
369,1769,K,PAULINA,CASTILLO,JIMENEZ,paulina.castillo@correo.cl,,,,2012-12-07 00:00:00.000,1
370,1770,1,ANIBAL,NEIRA,GONZALEZ,,,,,2012-04-09 00:00:00.000,1
372,1772,3,MIGUEL,GONZALEZ,TOLEDO,miguel.gonzalez@correo.cl,,,,2012-03-07 00:00:00.000,1
373,1773,4,SOLEDAD,BARRIENTOS,MEDEL,soledad.barrientos@correo.cl,,,,2012-11-09 00:00:00.000,1
374,1774,5,SANTIAGO,TOLEDO,SANCHEZ,santiago.toledo@correo.cl,,,,2012-01-12 00:00:00.000,1
375,1775,6,PAULA,MEDEL,VIDAL,paula.medel@correo.cl,,,,2012-01-08 00:00:00.000,1
382,1782,2,CRISTIAN,PIZARRO,MORAN,cristian.pizarro@correo.cl,,,,2012-05-07 00:00:00.000,1
383,1783,3,LUIS,ALIAGA,STUARDO,,,,,2012-09-09 00:00:00.000,1
384,1784,4,FRANCISCO,MORAN,TRONCOSO,,,,,2012-06-12 00:00:00.000,1
385,1785,5,JORGE,STUARDO,OJEDA,jorge.stuardo@correo.cl,,,,2012-03-08 00:00:00.000,1
386,1786,6,LUZ,TRONCOSO,JARA,luz.troncoso@correo.cl,,,,2012-01-07 00:00:00.000,1
388,1788,8,ARIEL,JARA,PRADO,ariel.jara@correo.cl,,,,2012-02-08 00:00:00.000,1
391,1791,K,PILAR,POBLETE,ESCOBAR,pilar.poblete@correo.cl,,,,2012-09-10 00:00:00.000,1
392,1792,1,PEDRO,ARAVENA,OLIVARES,pedro.aravena@correo.cl,,,,2012-06-10 00:00:00.000,1
394,1794,3,DANIEL,OLIVARES,BARAHONA,daniel.olivares@correo.cl,,,,2012-05-08 00:00:00.000,1
398,1798,7,ARTURO,SOTO,CASTILLO,arturo.soto@correo.cl,,,,2012-01-08 00:00:00.000,1
399,1799,8,CAMILA,MARTINEZ,NEIRA,camila.martinez@correo.cl,,,,2012-05-10 00:00:00.000,1
401,1801,0,MATIAS,NEIRA,GONZALEZ,matias.neira@correo.cl,,,,2012-02-10 00:00:00.000,1
402,1802,K,DANIELLA,JIMENEZ,BARRIENTOS,daniella.jimenez@correo.cl,,,,2012-03-10 00:00:00.000,1
404,1804,2,MARIA DE LA LUZ,BARRIENTOS,MEDEL,,,,,2012-08-08 00:00:00.000,1
408,1808,6,JOSE FERNANDO,VIDAL,VERGARA,,,,,2012-11-07 00:00:00.000,1
409,1809,7,REINHOLD OTTO,BRAVO,VARGAS,,,,,2012-12-09 00:00:00.000,1
410,1810,8,JOSE MIGUEL,VERGARA,PEREZ,,,,,2012-01-12 00:00:00.000,1
421,1821,8,CARMEN XIMENA,PRADO,PEREZ,,,,,2012-06-08 00:00:00.000,1
422,1822,9,CHRISTIAN EDUARDO,POBLETE,PIZARRO,,,,,2012-06-07 00:00:00.000,1
423,1823,0,MARCO,ARAVENA,ALIAGA,marco.aravena@correo.cl,,,,2012-11-09 00:00:00.000,1
431,1831,7,JOSE TOMAS ALEJANDRO,CASTILLO,POBLETE,,,,,2012-02-08 00:00:00.000,1
433,1833,9,SANDRA  MARCELA,JIMENEZ,ESCOBAR,,,,,2012-09-12 00:00:00.000,1
439,1839,4,MARIA MAGDALENA,VIDAL,MARTINEZ,,,,,2012-01-08 00:00:00.000,1
440,1840,5,PEDRO ENRIQUE RAUL,BRAVO,CASTILLO,,,,,2012-04-10 00:00:00.000,1
442,1842,7,TERESA,VARGAS,JIMENEZ,teresa.vargas@correo.cl,,,,2012-02-10 00:00:00.000,1
443,1843,8,MARIO EDUARDO,PEREZ,GONZALEZ,,,,,2012-02-10 00:00:00.000,1
445,1845,0,RUBEN ALEX,ALIAGA,TOLEDO,,,,,2012-07-08 00:00:00.000,1
450,1850,4,JOAQUIN,JARA,VERGARA,joaquin.jara@correo.cl,,,,2012-10-10 00:00:00.000,1
452,1852,6,MARIA VICTORIA,PRADO,PEREZ,,,,,2013-03-01 00:00:00.000,1
453,1853,7,ANA DEL CARMEN,POBLETE,PIZARRO,,,,,2013-08-01 00:00:00.000,1
457,1857,K,ALFONSO REINALDO,FARIAS,TRONCOSO,,,,,2012-12-11 00:00:00.000,1
459,1859,2,MARY LOU,ALVAREZ,JARA,,,,,2012-08-07 00:00:00.000,1
462,1862,5,LORENA,CASTILLO,POBLETE,lorena.castillo@correo.cl,,,,2012-06-08 00:00:00.000,1
466,1866,9,PATRICIO FERNANDO,BARRIENTOS,FARIAS,,,,,2012-07-12 00:00:00.000,1
469,1869,1,MARIA CRISTINA,SANCHEZ,SOTO,,,,,2012-05-07 00:00:00.000,1
